FeatureType,date,ShipsInvolved,deaths,missings,severeInjuries,description,latitude,longitude,subtype_field,subtype_value,gml_pos
CollisionAndContact,20210705,FLORIDA BLANCA IV (IMO 6605280),,,,"B/P ""Florida Blanca IV"" collided with Almirante Storni pier causing material damages.",-43.2167,-65.0333,collisionAndContactType,collision,-65.0333 -43.2167
FloodingAndSinking,20210630,SARMAT (IMO 8027133),,,,Towed object sank during towing operation.,20.9081,-17.3222,floodingAndSinkingType,sinking,-17.3222 20.9081
HullAndEngineAccessoryDamage,20210630,EAUBONNE (IMO 9663104),,,,Ship's overhead provision crane failure during garbage discharge resulted in one fatality and one serious injury.,5.25,-4.0,hullAndEngineAccessoryDamageType,other facility damage,-4.0000 5.2500
FloodingAndSinking,20210629,YUNICEE (IMO 8875748),,,,Ship sank in Bali strait with casualties.,-8.1739,114.4283,floodingAndSinkingType,sinking,114.4283 -8.1739
OtherIncident,20210628,KETTER (IMO 9195860),0.0,,1.0,Crew member trapped and injured during hatch cover operation.,51.2775,4.3775,otherIncidentType,safety hindrance and near misses,4.3775 51.2775
OtherIncident,20210624,INTREPID (IMO 9324629),1.0,,0.0,Fatality during cargo hold cleaning operation.,-20.3081,-39.9861,otherIncidentType,safety hindrance and near misses,-39.9861 -20.3081
FloodingAndSinking,20210620,PIONEER STAR (IMO 9120047),,,,The ship broke in two and sank in heavy weather with crew abandoning into life rafts.,18.3333,57.3333,floodingAndSinkingType,sinking,57.3333 18.3333
OtherIncident,20210618,SEXTANT (-),1.0,,0.0,Sailor overboard incident resulting in fatality during fishing trip.,49.805,-2.7528,otherIncidentType,safety hindrance and near misses,-2.7528 49.8050
OtherIncident,20210616,HYUNDAI TECHNOPIA (IMO 9155145),,,,Fatal accident involving crew member falling from height onboard.,35.0472,128.6719,otherIncidentType,safety hindrance and near misses,128.6719 35.0472
OtherIncident,20210616,CEYLON PRINCESS (IMO 9734575),,,,Crew medical emergency resulting in death onboard,-13.1331,95.4556,otherIncidentType,safety hindrance and near misses,95.4556 -13.1331
HullAndEngineAccessoryDamage,20210616,DEVON (IMO 9406843),,,,Cracks in port fuel tank causing oil leakage.,10.3289,83.5928,hullAndEngineAccessoryDamageType,hull damage,83.5928 10.3289
OtherIncident,20210611,AROYAT (IMO 9151395),,,,Crew member jumped overboard.,-31.0167,-50.5,otherIncidentType,safety hindrance and near misses,-50.5000 -31.0167
OtherIncident,20210610,EPIC BORACAY (IMO 9521588),,,,Fatal man-overboard incident during painting work on board a gas carrier.,-7.1917,-34.5389,otherIncidentType,safety hindrance and near misses,-34.5389 -7.1917
FireAndExplosion,20210605,Lokarda (-),0.0,,0.0,"Fire broke out in the engine room of fishing vessel Lokarda, leading to its eventual sinking.",43.4025,15.6361,fireAndExplosionType,fire,15.6361 43.4025
OtherIncident,20210604,STAR PLANET (IMO 9316036),,,,Crew member found injured and later passed away in cargo hold no.7.,-35.5861,128.675,otherIncidentType,safety hindrance and near misses,128.6750 -35.5861
OtherIncident,20210603,CENTRAL PARK (IMO 9725823),0.0,,1.0,Chemical exposure incident during cargo sampling operation,51.2631,4.3581,otherIncidentType,safety hindrance and near misses,4.3581 51.2631
FireAndExplosion,20210602,Affluent Ocean (IMO 9162320),,,,A fire broke out on a general cargo vessel causing structural damage.,22.3194,114.1278,fireAndExplosionType,fire,114.1278 22.3194
FloodingAndSinking,20210601,INSPECTA 7 (IMO 9198343),,,,Ship sank after striking a submerged wreck in the Gulf of Suez.,28.3167,33.1319,floodingAndSinkingType,sinking,33.1319 28.3167
FireAndExplosion,20210531,SALAR (IMO 8801125),0.0,,0.0,Fire broke out during loading of metal waste on vessel SALAR in Landskrona harbour.,55.8564,12.8428,fireAndExplosionType,fire,12.8428 55.8564
HullAndEngineAccessoryDamage,20210529,OBSERVADOR (IMO 9179165),,,,Engine issue during assistance service leading to emergency return to port.,-34.6333,-58.3581,hullAndEngineAccessoryDamageType,machineries and propulsion damage,-58.3581 -34.6333
FloodingAndSinking,20210528,NAZMIYE ANA (IMO 8516598),2.0,,2.0,"Vessel heeled to starboard during cargo operations, leading to casualties and total loss.",39.9664,0.0278,floodingAndSinkingType,sinking,0.0278 39.9664
CollisionAndContact,20210527,BYAKKO (IMO 9883510),,,,The ship collided with MV 'Ulsan Pioneer' resulting in hull damage and sinking.,34.1517,132.9067,collisionAndContactType,collision,132.9067 34.1517
CollisionAndContact,20210526,"AMUR (IMO 8910665), Hokku Maru 8 (-)",,,,"Fishing vessel collided with a Japanese boat, causing capsizing.",44.4861,143.5917,collisionAndContactType,collision,143.5917 44.4861
OtherIncident,20210519,RAMONA (-),1.0,,0.0,"Crewmember missing on board, ship found off the coast of Kolobrzeg, Poland without crewmember on board.",54.9639,15.4242,otherIncidentType,safety hindrance and near misses,15.4242 54.9639
FloodingAndSinking,20210517,PAPAA 305 (IMO 8784327),,,,Vessel sank after collision with oil rig in Arabian Sea during cyclone 'Tauktae'.,19.2561,72.3403,floodingAndSinkingType,sinking,72.3403 19.2561
FloodingAndSinking,20210517,VARAPRADA (IMO 8222161),,,,Ship sank in Arabian sea due to broken anchor chain flooding engine room.,19.0128,72.5175,floodingAndSinkingType,sinking,72.5175 19.0128
CollisionAndContact,20210516,"BUSTER (-), STAVFJORD (IMO 9321380)",0.0,,0.0,"Collision between cargo ship and fishing vessel due to lack of lookout, resulting in minor damages to the fishing vessel.",57.6183,10.6494,collisionAndContactType,collision,10.6494 57.6183
FireAndExplosion,20210514,Horizon (-),0.0,,0.0,"Fishing vessel caught fire, crew rescued before sinking",51.3167,-8.2942,fireAndExplosionType,fire,-8.2942 51.3167
CollisionAndContact,20210503,"CHRISTOS XXIV (IMO 7041625), VARZUGA (IMO 7500401)",0.0,,0.0,Towing line rupture between tug and oil tanker requiring emergency assistance operation.,50.1556,-2.1389,collisionAndContactType,contact,-2.1389 50.1556
OtherIncident,20210430,MSC ENGLAND (IMO 9232890),,,,Fatal fall of Ordinary Seaman from monkey island during painting task.,40.8861,29.3361,otherIncidentType,safety hindrance and near misses,29.3361 40.8861
CollisionAndContact,20210429,ARIN (IMO 9295048),,,,Strong collision between tanker and oil platform during maneuvering on berth.,32.3667,15.2167,collisionAndContactType,collision,15.2167 32.3667
CollisionAndContact,20210429,"ILGWANGHO (-), SUNNY ROSE (IMO 9738765)",,,,"Collision between container vessel ""SUNNY ROSE"" and fishing boat ""ILGWANGHO"" resulting in one fatality.",37.3411,126.5983,collisionAndContactType,contact,126.5983 37.3411
HullAndEngineAccessoryDamage,20210428,MCC TOKYO (IMO 9823728),,,,Fatal accident involving a seaman hit by a shackle from a cargo block on a container ship.,22.3414,114.1167,hullAndEngineAccessoryDamageType,other facility damage,114.1167 22.3414
HullAndEngineAccessoryDamage,20210428,RIVERSIDE (IMO 9412464),0.0,,1.0,Injuries caused by air start valve malfunction during maintenance.,40.6903,29.3253,hullAndEngineAccessoryDamageType,machineries and propulsion damage,29.3253 40.6903
CollisionAndContact,20210427,"A SYMPHONY (IMO 9249324), SEA JUSTICE (IMO 9309514)",,,,Collision between General Cargo Ship and Oil Tanker resulting in serious pollution incident.,35.7333,120.9778,collisionAndContactType,collision,120.9778 35.7333
FireAndExplosion,20210424,WISDOM (IMO 9182069),,,,Explosion and fire in cargo tank during oil transfer operations.,35.2547,35.9217,fireAndExplosionType,fire,35.9217 35.2547
OtherIncident,20210422,VAN STAR (IMO 9573842),0.0,,1.0,Pilot accident during boarding procedure.,49.35,0.9833,otherIncidentType,safety hindrance and near misses,0.9833 49.3500
OtherIncident,20210420,NING MAY (IMO 9891866),1.0,,,A crew member fell into a cargo hold and later passed away.,22.6025,120.2192,otherIncidentType,safety hindrance and near misses,120.2192 22.6025
FloodingAndSinking,20210415,KHANG ANH 189 (IMO 8669486),,,,Ship sank after collision with MV 'Sitc Kawasaki' in south China sea.,9.7,106.85,floodingAndSinkingType,sinking,106.8500 9.7000
OtherIncident,20210414,MSC SUEZ (IMO 8918978),,,,Fatality of subcontracted welder onboard MSC SUEZ during steel works in ballast tank.,54.5667,11.2167,otherIncidentType,safety hindrance and near misses,11.2167 54.5667
HullAndEngineAccessoryDamage,20210414,CELEBRITY SUMMIT (IMO 9192387),0.0,,0.0,Structural damages to rescue boat's hull during hoisting operation,26.0881,-80.1169,hullAndEngineAccessoryDamageType,hull damage,-80.1169 26.0881
FloodingAndSinking,20210413,HILDA (-),,,,"The vessel capsized while unloading livestock, leading to no fatalities among the crew.",-33.2219,-59.3639,floodingAndSinkingType,capsizing,-59.3639 -33.2219
OtherIncident,20210412,DS SOFIE BULKER (IMO 9310604),,,,C/O fell inside cargo hold resulting in fatality.,-10.3942,-0.4194,otherIncidentType,safety hindrance and near misses,-0.4194 -10.3942
FloodingAndSinking,20210412,Viking Norsafe JYN-57 MKI (-),0.0,,0.0,A lifeboat became flooded and had to be abandoned during a rescue exercise.,59.3481,18.1225,floodingAndSinkingType,flooding,18.1225 59.3481
OtherIncident,20210412,ASIAN CHAMPION (IMO 9474656),,,,Crew fatality due to ship crane accident.,-6.0283,105.9408,otherIncidentType,safety hindrance and near misses,105.9408 -6.0283
OtherIncident,20210407,UR ERTZA (IMO 7416210),,,,A crew member fell overboard from a fishing vessel resulting in a fatality.,-38.0436,-57.5233,otherIncidentType,safety hindrance and near misses,-57.5233 -38.0436
CollisionAndContact,20210407,"IVY ALLIANCE (IMO 9473834), RICH RAINBOW (IMO 9800659)",,,,Panamanian oil/chemical tanker collided with MV IVY ALLIANCE while transiting outbound from Manila Bay anchorage.,14.5414,120.8692,collisionAndContactType,collision,120.8692 14.5414
FireAndExplosion,20210407,RAPALLO (IMO 9413690),0.0,,2.0,Fuel oil spillage led to a fire incident causing burns to crew members.,2.5861,101.7247,fireAndExplosionType,fire,101.7247 2.5861
FloodingAndSinking,20210404,OLIVIA (-),1.0,,0.0,Ship sank with one fisherman onboard who did not survive.,56.1814,12.2003,floodingAndSinkingType,sinking,12.2003 56.1814
CollisionAndContact,20210331,"LS JAMIE (IMO 9418937), Z.85 - ALEXIS II (-)",0.0,,0.0,Collision between mts LS JAMIE and fv Z.85 - ALEXIS II in Dover Strait TSS.,51.45,2.15,collisionAndContactType,collision,2.1500 51.4500
OtherIncident,20210331,KIRAN AFRICA (IMO 9491173),0.0,,1.0,Bosun fell from height due to unsecured safety harness.,-10.2719,-33.2358,otherIncidentType,safety hindrance and near misses,-33.2358 -10.2719
OtherIncident,20210327,SEOUL EXPRESS (IMO 9193305),1.0,,0.0,AB fatality during temperature measurement in cargo hold companionway.,24.9414,-113.2581,otherIncidentType,safety hindrance and near misses,-113.2581 24.9414
OtherIncident,20210325,NATALY (IMO 9370288),1.0,,0.0,Fatality due to suffocation in enclosed space on board dry cargo carrier.,58.6028,17.7942,otherIncidentType,safety hindrance and near misses,17.7942 58.6028
FireAndExplosion,20210325,BBC RHONETAL (IMO 9614701),,,,"Fire broke out in the cargo hold during cargo discharge operations, leading to evacuation and firefighting efforts.",-20.3247,118.5747,fireAndExplosionType,fire,118.5747 -20.3247
CollisionAndContact,20210325,"BERGFJORD (IMO 9012989), Futuro (-)",0.0,,1.0,"Collision between M/V ""BERGFJORD"" and M/p ""FUTURO"" during fishing operations resulting in sinking of the fishing vessel.",44.3667,12.9,collisionAndContactType,collision,12.9000 44.3667
OtherIncident,20210323,"ATLAS (IMO 7330337), FORPOST (IMO 9039767)",0.0,,1.0,One person injured during towing operation on tugboat,59.4547,24.6456,otherIncidentType,safety hindrance and near misses,24.6456 59.4547
FireAndExplosion,20210320,AQUAMARINE DRILLER (IMO 8769652),,,,Improper handling of condemned fire extinguishers led to an explosion onboard a MODU.,4.25,103.4722,fireAndExplosionType,explosion,103.4722 4.2500
OtherIncident,20210318,ENY (IMO 9382695),,,,Two fatalities due to lack of oxygen during cargo operation.,37.4833,129.1333,otherIncidentType,safety hindrance and near misses,129.1333 37.4833
FireAndExplosion,20210318,SEASCOUT (IMO 9255660),0.0,,0.0,"Explosion occurred during maintenance work on walkway ramps, damaging vessel's structure and life-saving equipment.",21.1192,59.5414,fireAndExplosionType,explosion,59.5414 21.1192
OtherIncident,20210316,SOLYMAR (IMO 9167344),1.0,,0.0,Fatality due to Hatch Cover incident.,55.7061,9.705,otherIncidentType,safety hindrance and near misses,9.7050 55.7061
FireAndExplosion,20210315,POLAR AASSIK (IMO 8718914),0.0,,2.0,Fire on board led to ship sinking after crew evacuation.,68.7917,-51.3667,fireAndExplosionType,fire,-51.3667 68.7917
FloodingAndSinking,20210311,VOLGO-BALT 179 (IMO 8231019),,,,Ship sank in the Black Sea with casualties and missing crew member.,44.3333,30.3333,floodingAndSinkingType,sinking,30.3333 44.3333
FloodingAndSinking,20210311,DANA TRADER (IMO 7726952),,,,The ship sank in the Mediterranean Sea with casualties and SAR operations.,31.6167,30.6,floodingAndSinkingType,sinking,30.6000 31.6167
CollisionAndContact,20210309,"OLYMPIA (IMO 9765574), TB 96666 TS (-)",,,,Collision between OLYMPIA and TB 96666 TS resulting in sinking of the fishing vessel and missing crewmembers.,13.1442,110.8167,collisionAndContactType,collision,110.8167 13.1442
CollisionAndContact,20210308,"ATLE (-), FINLANDIA SEAWAYS (IMO 9198721)",0.0,,0.0,Collision between ro-ro vessel FINLANDIA SEAWAYS and tug ATLE in Stilleryd Harbour.,56.1544,14.8294,collisionAndContactType,collision,14.8294 56.1544
OtherIncident,20210307,BARRAMUNDI (IMO 9813113),,,,Fatality during fumigant removal operation,22.4414,119.0247,otherIncidentType,safety hindrance and near misses,119.0247 22.4414
StrandingAndGrounding,20210302,CAPTAIN V. MADIAS (IMO 9617351),0.0,,0.0,Maltese bulk carrier ran aground due to proximity of track to shoal.,-1.2194,127.8225,strandingAndGroundingType,grounding,127.8225 -1.2194
HullAndEngineAccessoryDamage,20210301,VESTA (-),1.0,,0.0,Fatal incident involving a workboat colliding with a bridge due to a control cable failure.,57.6961,11.805,hullAndEngineAccessoryDamageType,other facility damage,11.8050 57.6961
OtherIncident,20210228,YM INCREMENT (IMO 9319143),,,,Delayed medical assistance resulting in fatality during lifeboat drill.,2.6861,101.3889,otherIncidentType,safety hindrance and near misses,101.3889 2.6861
StrandingAndGrounding,20210226,CREST RADIANT 1 (IMO 9499979),,,,"Chief Officer fell overboard due to a swell, leading to a search and recovery operation.",25.1722,54.2694,strandingAndGroundingType,grounding,54.2694 25.1722
FloodingAndSinking,20210219,APRIL (IMO 9013024),,,,"The ship developed a list and took water due to ballast tank damage, resulting in crew casualties.",45.5069,36.5833,floodingAndSinkingType,flooding,36.5833 45.5069
OtherIncident,20210218,COPIOUS (IMO 9395757),,,,"Crew member fell overboard and was recovered unconscious, later pronounced deceased.",59.6361,-0.575,otherIncidentType,safety hindrance and near misses,-0.5750 59.6361
floodingAndSinking,20210217,MARGRETHE FIGHTER (IMO 8705620),1.0,,2.0,"Vessel capsized in port, loaded with mud, resulting in one fatality.",55.3753,13.1531,,capsizing,13.1531 55.3753
OtherIncident,20210216,VENUS (IMO 9661455),,,,Fatal man overboard incident during disembarkation from a vessel.,1.2861,103.9331,otherIncidentType,safety hindrance and near misses,103.9331 1.2861
OtherIncident,20210215,Anna Mamm Mari (-),0.0,,1.0,"Deckhand fell overboard with leg trapped by net, rescued and resuscitated, evacuated by helicopter",46.1222,-2.0833,otherIncidentType,safety hindrance and near misses,-2.0833 46.1222
FireAndExplosion,20210213,GREATSHIP ROHINI (IMO 9522532),,,,"Ship caught fire in engine room near NQO platform in Arabian Sea, resulting in severe damage and casualties.",19.55,71.35,fireAndExplosionType,fire,71.3500 19.5500
OtherIncident,20210213,DERBY (IMO 9464780),,,,Bosun fell into cargo hold during cargo operation.,-0.875,76.0472,otherIncidentType,safety hindrance and near misses,76.0472 -0.8750
FireAndExplosion,20210212,PRINCE 4 (IMO 8512865),,,,Fire broke out in the main deck accommodation cabin and spread to the superstructure.,46.5831,31.3667,fireAndExplosionType,fire,31.3667 46.5831
CollisionAndContact,20210212,"CALYPSO. GR (IMO 9785134), SOETKIN (IMO 9222065)",0.0,,0.0,Belgian fishing vessel collided with a cargo vessel in the English Channel.,50.4622,-0.5031,collisionAndContactType,collision,-0.5031 50.4622
FireAndExplosion,20210211,GALLIPOLI SEAWAYS (IMO 9215476),,,,"Fire broke out on GALLIPOLI SEAWAYS Ro-Ro ship, leading to listing and evacuation.",39.7306,25.7861,fireAndExplosionType,fire,25.7861 39.7306
OtherIncident,20210209,BALTIC K (IMO 9514121),,,,"Chief Engineer missing from vessel, search conducted by multiple authorities.",7.4886,108.5639,otherIncidentType,safety hindrance and near misses,108.5639 7.4886
OtherIncident,20210208,ENEOVAI (IMO 9506667),,,,Sudden death of a seafarer on board MV Eneovai.,3.4722,5.4722,otherIncidentType,safety hindrance and near misses,5.4722 3.4722
OtherIncident,20210208,ATLANTIC PROJECT II (IMO 9235983),1.0,,0.0,Seafarer fatally injured by shifting deck pontoon.,51.2917,4.3908,otherIncidentType,safety hindrance and near misses,4.3908 51.2917
OtherIncident,20210207,SANTA CLARA (IMO 9444716),1.0,,0.0,Crew member fell overboard during berthing operation.,53.6728,8.3839,otherIncidentType,safety hindrance and near misses,8.3839 53.6728
OtherIncident,20210206,CORNISHMAN (IMO 7102558),,,,Fishing vessel derrick collapse causing injuries and gear retrieval delay.,49.2389,-6.9306,otherIncidentType,safety hindrance and near misses,-6.9306 49.2389
OtherIncident,20210203,MARLIONA (IMO 9321342),0.0,,0.0,Crew member injured by trawl door during repair process.,55.2028,-6.985,otherIncidentType,safety hindrance and near misses,-6.9850 55.2028
NavigationalIssues,20210202,VALARIS DS-4 (IMO 9459943),,,,"VALARIS DS-4 drifted off the jetty due to storm force winds, resulting in loss of moorings.",55.7722,-4.8778,navigationalIssuesType,drifting,-4.8778 55.7722
OtherIncident,20210131,TOPAZ ENERGY (IMO 9678771),,,,Fatal man overboard incident during crew exchange between two sister vessels.,4.6667,7.15,otherIncidentType,safety hindrance and near misses,7.1500 4.6667
OtherIncident,20210131,FPSO CIDADE DE MANGARATIBA - MV 24 (-),,,,A non-crew member fell while working at height inside a cargo tank.,-25.2,-45.8667,otherIncidentType,safety hindrance and near misses,-45.8667 -25.2000
FloodingAndSinking,20210130,GIULIA I (IMO 9638135),1.0,,4.0,Crew members swept overboard due to flooding in forecastle store during inclement weather.,40.0,-59.4833,floodingAndSinkingType,flooding,-59.4833 40.0000
FloodingAndSinking,20210127,GOLFO AZUL (-),,,,Vessel sank after experiencing a breach below the waterline during fishing operations.,-40.9361,-64.875,floodingAndSinkingType,sinking,-64.8750 -40.9361
FireAndExplosion,20210126,UILENSPIEGEL (IMO 9247467),0.0,,0.0,"Smoke and flames visible in engine room during main engine commissioning, likely caused by small oil leak.",38.4894,-8.8019,fireAndExplosionType,fire,-8.8019 38.4894
OtherIncident,20210124,WEST NEPTUNE (IMO 9655028),,,,Fatal incident involving a third-party contractor during lifting gear inspection.,28.2489,88.8336,otherIncidentType,safety hindrance and near misses,88.8336 28.2489
FireAndExplosion,20210124,NANINA (IMO 8656544),,,,"A fire incident occurred in the engine room while the fishing vessel Nanina was at sea, resulting in material damages.",-44.8333,-61.4,fireAndExplosionType,fire,-61.4000 -44.8333
OtherIncident,20210122,NORDIC HAMBURG (IMO 9514755),1.0,,0.0,Missing Ukrainian Chief Engineer during SAR operation in Baltic Sea.,58.4247,20.7275,otherIncidentType,safety hindrance and near misses,20.7275 58.4247
OtherIncident,20210120,QUEBEC (IMO 9044425),,,,"Discharge of oil into the sea at Graciosa Bay, Solomon Islands",-10.7569,165.8247,otherIncidentType,safety hindrance and near misses,165.8247 -10.7569
StrandingAndGrounding,20210119,TRINITY BAY (IMO 9149990),,,,Cargo vessel 'Trinity Bay' ran aground on Harrington Shoal within the Great Barrier Reef Marine Park.,-10.8103,142.7036,strandingAndGroundingType,grounding,142.7036 -10.8103
OtherIncident,20210118,BAO RUN (IMO 9698599),,,,Fatal accident involving Second Engineer falling from height during cargo hold cleaning operation.,17.4914,58.1167,otherIncidentType,safety hindrance and near misses,58.1167 17.4914
OtherIncident,20210116,NAVIOS SOL (IMO 9545170),,,,Fatal accident during maintenance work aloft on the vessel,36.4667,22.6778,otherIncidentType,safety hindrance and near misses,22.6778 36.4667
FloodingAndSinking,20210116,MAERSK ESSEN (IMO 9456783),0.0,,0.0,Containers lost and damaged due to sudden violent rolling.,28.3361,-154.0,floodingAndSinkingType,capsizing,-154.0000 28.3361
StrandingAndGrounding,20210115,KAREDIG (-),,,,"A sailing boat crashed into Sudanese coral reefs, resulting in damage and grounding.",21.6108,37.1097,strandingAndGroundingType,grounding,37.1097 21.6108
FloodingAndSinking,20210114,BREIZ (-),3.0,,0.0,Trawler capsized and sank during towing operation.,49.3589,-0.3142,floodingAndSinkingType,capsizing,-0.3142 49.3589
OtherIncident,20210112,CHIPOL TAIAN (IMO 9509621),,,,Chief Officer fatally injured by wave while checking mooring rope in adverse weather conditions.,8.2667,108.8833,otherIncidentType,safety hindrance and near misses,108.8833 8.2667
HullAndEngineAccessoryDamage,20210111,FABIO DUO' (IMO 9627174),0.0,,1.0,Crane accident resulted in serious injuries to the master.,44.3397,9.2206,hullAndEngineAccessoryDamageType,other facility damage,9.2206 44.3397
CollisionAndContact,20210109,OHIO (-),0.0,,0.0,"Ohio collided with a fish cage while altering course to avoid a fish farm, resulting in damages to the pilot boat and the fish cage.",36.0036,14.4381,collisionAndContactType,contact,14.4381 36.0036
StrandingAndGrounding,20210107,BENTAGO EXPRESS (IMO 9213337),0.0,,0.0,Ro-ro vessel BENTAGO EXPRESS ran aground in bad weather during port entry manoeuvre.,28.1075,-15.7164,strandingAndGroundingType,grounding,-15.7164 28.1075
FloodingAndSinking,20210106,Samaritana (-),0.0,,1.0,Vessel suffered massive flooding in engine room during fishery operation.,41.5806,-9.1875,floodingAndSinkingType,flooding,-9.1875 41.5806
floodingAndSinking,20221216,LETICIA CLARA (-),0.0,,1.0,"Vessel capsized after being hit by a wave during inbound fishery, resulting in one crew member rescued and 3 missing observers.",39.9039,-9.0053,,capsizing,-9.0053 39.9039
OtherIncident,20221206,ARY (IMO 8928480),1.0,,0.0,"Crew member fell into water during boarding, resulting in fatality.",53.4,6.2167,otherIncidentType,safety hindrance and near misses,6.2167 53.4000
FloodingAndSinking,20221128,GALEA (-),1.0,,0.0,"Small fishing vessel capsized, seaman drowned during attempted swim to shore.",43.4056,5.0722,floodingAndSinkingType,capsizing,5.0722 43.4056
StrandingAndGrounding,20221125,ARKLOW RAIDER (IMO 9344540),0.0,,0.0,The vessel grounded heavily after sheering to port while rounding Lyde Rock.,51.6167,-2.6547,strandingAndGroundingType,grounding,-2.6547 51.6167
CollisionAndContact,20221125,BIKAIN (IMO 9095333),0.0,,0.0,The fishing vessel collided with a marina pontoon causing extensive damage.,52.1406,-10.2806,collisionAndContactType,contact,-10.2806 52.1406
OtherIncident,20221119,MSC EMMA (IMO 9463047),,,,Fatal accident involving crew member falling from monorail.,-4.4886,-84.0578,otherIncidentType,safety hindrance and near misses,-84.0578 -4.4886
FloodingAndSinking,20221115,ZODIAC 4 (-),0.0,,0.0,Capsizing of support craft ZODIAC 4 resulted in fatalities.,-61.0953,-55.0306,floodingAndSinkingType,capsizing,-55.0306 -61.0953
OtherIncident,20221111,UHL FORTUNE (IMO 9813242),1.0,,1.0,Chief officer injured during loading operations.,13.2686,80.3364,otherIncidentType,safety hindrance and near misses,80.3364 13.2686
OtherIncident,20221110,VIRGILIO MIGUEL (-),0.0,,0.0,Crew member fell overboard during fishing trip with unsuccessful search and rescue operation.,40.8831,-8.8167,otherIncidentType,safety hindrance and near misses,-8.8167 40.8831
HullAndEngineAccessoryDamage,20221010,MSC JEANNE (IMO 9135638),0.0,,1.0,Chief engineer slipped and fell in engine room due to grease on shoe soleplate and paint on stairway platform.,51.4442,2.6,hullAndEngineAccessoryDamageType,other facility damage,2.6000 51.4442
OtherIncident,20221007,Port Gdynia (IMO 9334387),1.0,,0.0,Fatal accident involving a stevedore in cargo hold no. 1 during cargo operations.,1.8306,9.7361,otherIncidentType,safety hindrance and near misses,9.7361 1.8306
OtherIncident,20221003,MADIANA (-),0.0,,1.0,A seaman fell overboard during dredge launching due to inattention.,48.6736,-2.1942,otherIncidentType,safety hindrance and near misses,-2.1942 48.6736
FireAndExplosion,20220927,FILIPA MIGUEL (IMO 8686927),0.0,,0.0,Fishing vessel experienced a fire onboard resulting in total loss.,38.9683,-18.9661,fireAndExplosionType,fire,-18.9661 38.9683
FireAndExplosion,20220911,NORDLAND (-),0.0,,0.0,Work vessel NORDLAND caught fire and sank during repair work at a wind farm.,59.2528,13.3267,fireAndExplosionType,fire,13.3267 59.2528
FloodingAndSinking,20220831,CINTHARTH (IMO 9222596),0.0,,0.0,Major flooding in engine compartment leads to vessel sinking.,48.5492,-9.9547,floodingAndSinkingType,sinking,-9.9547 48.5492
FireAndExplosion,20220829,STENA SCANDICA (IMO 9329849),0.0,,0.0,"Fire broke out on open vehicle deck, causing blackout and drifting towards shallow waters, but crew managed to restore power and avoid grounding.",58.2481,19.0506,fireAndExplosionType,fire,19.0506 58.2481
OtherIncident,20220828,VARITA (-),1.0,,0.0,A person falling overboard from a trawler with unsuccessful SAR operation.,57.1942,24.0775,otherIncidentType,safety hindrance and near misses,24.0775 57.1942
StrandingAndGrounding,20220826,CEG ORBIT (IMO 8906224),0.0,,0.0,MV CEG Orbit ran aground at the northeast coast of the Isle of Man and had to be towed off with the assistance of a local tugboat.,54.4214,-4.3697,strandingAndGroundingType,grounding,-4.3697 54.4214
CollisionAndContact,20220818,"ANDR E LARA (-), ZORRO (-)",0.0,,2.0,Collision resulted in total loss of fishing vessel and 3 injuries.,37.0264,-7.8364,collisionAndContactType,collision,-7.8364 37.0264
CollisionAndContact,20220723,BUNUN QUEEN (IMO 9912438),,,,Collision between MV BUNON QUEEN and OSV THUNDER resulting in hull damages.,28.0,-90.3506,collisionAndContactType,collision,-90.3506 28.0000
OtherIncident,20220718,Sunny Isles (IMO 9396775),1.0,,0.0,Second engineer trapped and fatally injured by collapsed stack of spare steel plates in steering gear room.,21.7775,59.9667,otherIncidentType,safety hindrance and near misses,59.9667 21.7775
FireAndExplosion,20220716,NUSA PENIDA (IMO 8328317),,,,Ship caught fire in forward accommodation area during repairs.,-8.7433,116.0656,fireAndExplosionType,fire,116.0656 -8.7433
CollisionAndContact,20220709,Eurocargo Catania (IMO 9503627),0.0,,1.0,Crew member caught between semi-trailer and vessel frame during cargo operations.,40.6769,14.745,collisionAndContactType,contact,14.7450 40.6769
FireAndExplosion,20220706,California Trader (IMO 9771664),0.0,,0.0,"Fire alarm and smoke detected in cargo hold no. 4, extinguished with fixed system.",6.3167,94.7581,fireAndExplosionType,fire,94.7581 6.3167
FloodingAndSinking,20220702,FU JIN 001 (IMO 7826180),,,,Ship sank after breaking in two while taking shelter in a typhoon.,21.2797,111.3794,floodingAndSinkingType,sinking,111.3794 21.2797
OtherIncident,20220627,FOREST 6 (IMO 9947354),,,,"Ship struck by falling tank container with chlorine, causing fatalities and injuries.",29.37,34.9625,otherIncidentType,safety hindrance and near misses,34.9625 29.3700
OtherIncident,20220617,NORD MAGIC (IMO 9392793),2.0,,0.0,Inadequate enclosed space entry procedures leading to fatalities,22.1747,91.8028,otherIncidentType,safety hindrance and near misses,91.8028 22.1747
FireAndExplosion,20220613,FREJA (-),0.0,,0.0,"Fire broke out in the wheel-house while fishing, crew used emergency signals to call for help.",55.2189,8.5778,fireAndExplosionType,fire,8.5778 55.2189
OtherIncident,20220609,MSC CARLA 3 (IMO 9124512),,,,"Crew member fell overboard due to heavy pitching, resulting in fatal injuries.",37.8178,144.4842,otherIncidentType,safety hindrance and near misses,144.4842 37.8178
